id,배지 이름,배지 설명,배지 타입,희귀도,거리(km),고도(m),속도(km/h),온도(°C),시간(분),연속(일),주기_조건,특수조건,선행_배지
23,무념무상의 걸음,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(걷기),legendary,14.5,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
24,무념무상의 걸음,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(걷기),mythic,15.0,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
25,공원의 파수꾼,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(걷기),common,16.0,,,,,,,,
26,공원의 파수꾼,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(걷기),rare,16.5,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
27,공원의 파수꾼,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(걷기),legendary,17.0,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
28,공원의 파수꾼,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(걷기),mythic,17.5,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
29,발끝의 리듬,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(걷기),common,18.5,,,,,,,,
30,발끝의 리듬,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(걷기),rare,19.0,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
31,발끝의 리듬,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(걷기),legendary,19.5,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
32,발끝의 리듬,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(걷기),mythic,20.0,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
33,그림자 추적자,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(걷기),common,21.0,,,,,,,,
34,그림자 추적자,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(걷기),rare,21.5,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
35,그림자 추적자,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(걷기),legendary,22.0,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
36,그림자 추적자,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(걷기),mythic,22.5,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
37,대지의 호흡,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(걷기),common,23.5,,,,,,,,
38,대지의 호흡,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(걷기),rare,24.0,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
39,대지의 호흡,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(걷기),legendary,24.5,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
40,대지의 호흡,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(걷기),mythic,25.0,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
41,첫 숨결,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(러닝),common,3.0,,,,,,,,
42,첫 숨결,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(러닝),rare,4.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
43,첫 숨결,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(러닝),legendary,5.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
44,첫 숨결,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(러닝),mythic,6.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
45,심장의 박동,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(러닝),common,8.0,,,,,,,,
46,심장의 박동,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(러닝),rare,9.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
47,심장의 박동,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(러닝),legendary,10.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
48,심장의 박동,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(러닝),mythic,11.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
49,아스팔트 러너,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(러닝),common,13.0,,,,,,,,
50,아스팔트 러너,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(러닝),rare,14.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
51,아스팔트 러너,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(러닝),legendary,15.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
52,아스팔트 러너,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(러닝),mythic,16.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
53,바람의 꼬리,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(러닝),common,18.0,,,,,,,,
54,바람의 꼬리,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(러닝),rare,19.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
55,바람의 꼬리,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(러닝),legendary,20.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
56,바람의 꼬리,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(러닝),mythic,21.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
57,페이스 메이커,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(러닝),common,23.0,,,,,,,,
58,페이스 메이커,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(러닝),rare,24.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
59,페이스 메이커,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(러닝),legendary,25.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
60,페이스 메이커,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(러닝),mythic,26.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
61,땀방울의 무게,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(러닝),common,28.0,,,,,,,,
62,땀방울의 무게,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(러닝),rare,29.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
63,땀방울의 무게,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(러닝),legendary,30.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
64,땀방울의 무게,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(러닝),mythic,31.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
65,숨가쁜 환희,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(러닝),common,33.0,,,,,,,,
66,숨가쁜 환희,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(러닝),rare,34.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
67,숨가쁜 환희,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(러닝),legendary,35.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
68,숨가쁜 환희,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(러닝),mythic,36.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
69,한계의 목격자,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(러닝),common,38.0,,,,,,,,
70,한계의 목격자,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(러닝),rare,39.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
71,한계의 목격자,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(러닝),legendary,40.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
72,한계의 목격자,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(러닝),mythic,41.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
73,중력을 거스르는 자,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(러닝),common,43.0,,,,,,,,
74,중력을 거스르는 자,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(러닝),rare,44.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
75,중력을 거스르는 자,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(러닝),legendary,45.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
76,중력을 거스르는 자,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(러닝),mythic,46.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
77,질주의 카타르시스,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(러닝),common,48.0,,,,,,,,
78,질주의 카타르시스,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(러닝),rare,49.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
79,질주의 카타르시스,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(러닝),legendary,50.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
80,질주의 카타르시스,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(러닝),mythic,51.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
81,멈추지 않는 심장,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(러닝),common,53.0,,,,,,,,
82,멈추지 않는 심장,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(러닝),rare,54.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
83,멈추지 않는 심장,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(러닝),legendary,55.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
84,멈추지 않는 심장,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(러닝),mythic,56.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
85,고독한 스프린터,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(러닝),common,58.0,,,,,,,,
86,고독한 스프린터,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(러닝),rare,59.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
87,고독한 스프린터,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(러닝),legendary,60.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
88,고독한 스프린터,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(러닝),mythic,61.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
89,폭풍의 눈,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(러닝),common,63.0,,,,,,,,
90,폭풍의 눈,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(러닝),rare,64.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
91,폭풍의 눈,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(러닝),legendary,65.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
92,폭풍의 눈,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(러닝),mythic,66.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
93,러너스 하이,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(러닝),common,68.0,,,,,,,,
94,러너스 하이,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(러닝),rare,69.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
95,러너스 하이,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(러닝),legendary,70.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
96,러너스 하이,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(러닝),mythic,71.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
97,무호흡의 질주,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(러닝),common,73.0,,,,,,,,
98,무호흡의 질주,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(러닝),rare,74.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
99,무호흡의 질주,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(러닝),legendary,75.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
100,무호흡의 질주,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(러닝),mythic,76.0,,,,,,,,"리듬의 발견,작심삼일의 파괴자"
101,두 바퀴의 시작,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(자전거),common,10.0,,,,,,,,
102,두 바퀴의 시작,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(자전거),rare,15.0,,,,,,,,"언덕의 도전자,리듬의 발견"
103,두 바퀴의 시작,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(자전거),legendary,20.0,,,,,,,,"언덕의 도전자,리듬의 발견"
104,두 바퀴의 시작,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(자전거),mythic,25.0,,,,,,,,"언덕의 도전자,리듬의 발견"
105,페달의 노래,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(자전거),common,35.0,,,,,,,,
106,페달의 노래,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(자전거),rare,40.0,,,,,,,,"언덕의 도전자,리듬의 발견"
107,페달의 노래,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(자전거),legendary,45.0,,,,,,,,"언덕의 도전자,리듬의 발견"
108,페달의 노래,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(자전거),mythic,50.0,,,,,,,,"언덕의 도전자,리듬의 발견"
109,안장 위의 방랑자,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(자전거),common,60.0,,,,,,,,
110,안장 위의 방랑자,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(자전거),rare,65.0,,,,,,,,"언덕의 도전자,리듬의 발견"
111,안장 위의 방랑자,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(자전거),legendary,70.0,,,,,,,,"언덕의 도전자,리듬의 발견"
112,안장 위의 방랑자,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(자전거),mythic,75.0,,,,,,,,"언덕의 도전자,리듬의 발견"
113,바람을 가르는 자,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(자전거),common,85.0,,,,,,,,
114,바람을 가르는 자,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(자전거),rare,90.0,,,,,,,,"언덕의 도전자,리듬의 발견"
115,바람을 가르는 자,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(자전거),legendary,95.0,,,,,,,,"언덕의 도전자,리듬의 발견"
116,바람을 가르는 자,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(자전거),mythic,100.0,,,,,,,,"언덕의 도전자,리듬의 발견"
117,기어의 변주곡,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(자전거),common,110.0,,,,,,,,
118,기어의 변주곡,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(자전거),rare,115.0,,,,,,,,"언덕의 도전자,리듬의 발견"
119,기어의 변주곡,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(자전거),legendary,120.0,,,,,,,,"언덕의 도전자,리듬의 발견"
120,기어의 변주곡,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(자전거),mythic,125.0,,,,,,,,"언덕의 도전자,리듬의 발견"
121,아스팔트 서퍼,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(자전거),common,135.0,,,,,,,,
